id,title,genre,description,text_for_embedding
1,The Quantum Paradox,Sci-Fi,"A brilliant physicist discovers a way to alter past decisions, but each change fractures reality.","The Quantum Paradox. Sci-Fi. A brilliant physicist discovers a way to alter past decisions, but each change fractures reality."
2,Neon Horizons,Sci-Fi/Action,"In a cyberpunk future, a rogue AI hunter teams up with her target to stop a corporate conspiracy.","Neon Horizons. Sci-Fi/Action. In a cyberpunk future, a rogue AI hunter teams up with her target to stop a corporate conspiracy."
3,Whispers of the Old Gods,Horror/Fantasy,An expedition to Antarctica uncovers ancient ruins and awakens entities that feed on human fears.,Whispers of the Old Gods. Horror/Fantasy. An expedition to Antarctica uncovers ancient ruins and awakens entities that feed on human fears.
4,The Last Barista,Comedy/Drama,"In a world where coffee is outlawed, one man runs an underground speakeasy serving espresso.","The Last Barista. Comedy/Drama. In a world where coffee is outlawed, one man runs an underground speakeasy serving espresso."
5,Midnight in Neo-Tokyo,Thriller,A detective must solve a series of murders where the victims' memories have been entirely erased.,Midnight in Neo-Tokyo. Thriller. A detective must solve a series of murders where the victims' memories have been entirely erased.
6,Galactic Pioneers,Sci-Fi,The crew of humanity's first interstellar ship must survive sabotage while crossing the void.,Galactic Pioneers. Sci-Fi. The crew of humanity's first interstellar ship must survive sabotage while crossing the void.
7,Heartstrings,Romance,"Two rival musicians find themselves reluctantly collaborating, only to compose a masterpiece together.","Heartstrings. Romance. Two rival musicians find themselves reluctantly collaborating, only to compose a masterpiece together."
8,The Silent King,Fantasy,A mute prince must reclaim his throne from his tyrannical uncle using ancient magic.,The Silent King. Fantasy. A mute prince must reclaim his throne from his tyrannical uncle using ancient magic.
9,Operation: Firewall,Action,An elite hacker squad is recruited by the government to stop a cyber-terrorist from crashing the global economy.,Operation: Firewall. Action. An elite hacker squad is recruited by the government to stop a cyber-terrorist from crashing the global economy.
10,Echoes of Eternity,Drama,An immortal reflects on the rise and fall of civilizations while searching for the only person they ever loved.,Echoes of Eternity. Drama. An immortal reflects on the rise and fall of civilizations while searching for the only person they ever loved.
